"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-454","Hagen, H. A.","1860","Neuroptera Neapolitana von A. Costa, nebst Synopsis der Ascalaphen Europas.","Stettiner Entomologische Zeitung 21:38-56."
"Neu-Ref-455","Hagen, H. A.","1861","Synopsis of the Neuroptera of North America, with a list of the South American species.","Smithsonian Miscellaneous Collections 4(1):xx + 1-347 [errata: p. 347]."
"Neu-Ref-456","Hagen, H. A.","1861-1863","Ueber die Neuroptern aus dem lithographischen Schiefer in Bayern.","Palaeontographica: Beiträge zur Naturgeschichte der Vorwelt [or Vorzeit] 10:96-145."
"Neu-Ref-459","Hagen, H. A.","1866","[book review with taxonomic notes] Die Neuropteren Spaniens nach Ed. Pictet's Synopsis des Neuroptères d'Espagne. Genève 1865. 8. tab. 14 col. und Dr. Staudingers Mittheilungen.","Stettiner Entomologische Zeitung 27:281-302."
"Neu-Ref-461","Hagen, H. A.","1867","Notes on the genus Raphidia.","Transactions of the [Royal] Entomological Society of London 15[=(3)5]:493-499."
"Neu-Ref-465","Hagen, H. A.","1877","Symphrasis, eine neue Mantispiden-Gattung.","Stettiner Entomologische Zeitung 38:208-211."
"Neu-Ref-466","Hagen, H. A.","1886","Monograph of the Hemerobidae. Part I. Nemopteridae.","Proceedings of the Boston Society of Natural History 23:250-269."
"Neu-Ref-467","Hagen, H. A.","1886","Monograph of the Hemerobiidae. Part II [Micromus].","Proceedings of the Boston Society of Natural History 23:276-292."
"Neu-Ref-471","Navás, L.","1903","Algunos Neurópteros de España nuevos.","Boletín de la Sociedad Aragonesa de Ciencias Naturales 2:99-109."
"Neu-Ref-473","Navás, L.","1903","Diláridos de España.","Memorias de la Real Academia de Ciencias y Artes de Barcelona (3)4:373-381."
"Neu-Ref-475","Navás, L.","1904","Notas neuropterológicas. V. Myrmeleonidos de España.","Butlletí de la Institució Catalana d'Història Natural (1)4:6-10, 19-25."
"Neu-Ref-477","Navás, L.","1905","Notas zoológicas. VII. Insectos orientales nuevos ó poco conocidos.","Boletín de la Sociedad Aragonesa de Ciencias Naturales 4:49-55."
"Neu-Ref-481","Navás, L.","1906","Catálogo descriptivo de los insectos Neurópteros de las Islas Canarias.","Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales de Madrid 4:687-706."
"Neu-Ref-484","Navás, L.","1906","[Notas zoológicas.] XI. Tres Neurópteros nuevos de España.","Boletín de la Sociedad Aragonesa de Ciencias Naturales 5:134-137."
"Neu-Ref-490","Navás, L.","1908","Neurópteros de España y Portugal [unnumbered part 3].","Brotéria (Zoológica) 7:5-131 [Errata: 9:113]."
"Neu-Ref-491","Navás, L.","1907-1908","Neurópteros nuevos.","Memorias de la Real Academia de Ciencias y Artes de Barcelona (3)6:401-423."
"Neu-Ref-493","Navás, L.","1908-1909","Mantíspidos nuevos [I].","Memorias de la Real Academia de Ciencias y Artes de Barcelona (3)7:473-485."
"Neu-Ref-494","Navás, L.","1908-1909","Monografía de la familia de los Diláridos (Ins. Neur.).","Memorias de la Real Academia de Ciencias y Artes de Barcelona (3)7:619-671."
"Neu-Ref-496","Navás, L.","1909","Neurópteros de los alrededores de Madrid. Suplemento I.","Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales de Madrid 8:370-380."
"Neu-Ref-497","Navás, L.","1909","Neurópteros de Siria (Beyrouth) recogidos por el P. Pedro Béraud S. J.","Brotéria (Zoológica) 8:102-104."
"Neu-Ref-498","Navás, L.","1909","Notas neuropterológicas. XI. Mirmeleónido nuevo de Madagascar.","Butlletí de la Institució Catalana d'Història Natural (1)9:71-72."
"Neu-Ref-501","Navás, L.","1909","Rhaphidides (Insectes Névroptères) du Musée de Paris.","Annales de la Société Scientifique de Bruxelles 33(pt. 1):143-146."
"Neu-Ref-504","Navás, L.","1910","Algunos neurópteros del Museo de Madrid. Pp. 1-7 in Asociación Española para el Progreso de las Ciencias, Congreso de Valencia (held 1910).",
"Neu-Ref-505","Navás, L.","1910","Crisópidos (Ins. Neur.) nuevos.","Brotéria (Zoológica) 9:38-59."
